Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11,V(t)_12,V(t)_13,V(t)_14,V(t)_15,V(t)_16
0,2.72184e-09,0.0984204,0.131327,0.155819,0.186794,0.0634682,0.141699,0.169939,0.0956109,0.208664,0.209273,0.118586,0.0583736,0.0447825,0.103312,0.075243,0.0491177,0.0919903
0,2.73045e-09,0.0988662,0.13199,0.156365,0.187409,0.0639946,0.142281,0.170499,0.0962664,0.209139,0.209997,0.119275,0.058602,0.0449425,0.103583,0.0755421,0.0492624,0.0924878
0,2.73906e-09,0.0993067,0.132644,0.156903,0.188016,0.0645158,0.142856,0.171051,0.0969149,0.209608,0.210711,0.119956,0.0588277,0.0451005,0.10385,0.0758376,0.0494051,0.0929798
0,2.74766e-09,0.0997422,0.133292,0.157435,0.188616,0.0650315,0.143425,0.171597,0.0975566,0.210069,0.211416,0.12063,0.0590507,0.0452564,0.104114,0.0761296,0.0495459,0.0934663
0,2.75627e-09,0.100172,0.133931,0.15796,0.189208,0.065542,0.143986,0.172135,0.0981915,0.210524,0.212112,0.121296,0.0592709,0.0454104,0.104373,0.0764179,0.0496848,0.0939473
0,2.76488e-09,0.100598,0.134564,0.158478,0.189792,0.0660473,0.14454,0.172667,0.0988196,0.210971,0.2128,0.121955,0.0594883,0.0455625,0.104629,0.0767028,0.0498218,0.094423
0,2.77348e-09,0.101018,0.135189,0.158989,0.190368,0.0665473,0.145088,0.173191,0.099441,0.211412,0.213478,0.122606,0.0597031,0.0457126,0.104881,0.0769841,0.0499569,0.0948932
0,2.78209e-09,0.101433,0.135807,0.159494,0.190937,0.0670422,0.145629,0.173708,0.100056,0.211846,0.214148,0.12325,0.0599153,0.0458608,0.10513,0.0772619,0.0500902,0.0953581
0,2.79069e-09,0.101843,0.136418,0.159993,0.191498,0.0675319,0.146163,0.174219,0.100664,0.212273,0.214808,0.123888,0.0601247,0.046007,0.105375,0.0775363,0.0502216,0.0958178
0,2.7993e-09,0.102249,0.137022,0.160485,0.192052,0.0680166,0.146691,0.174723,0.101265,0.212693,0.215461,0.124517,0.0603315,0.0461514,0.105616,0.0778072,0.0503512,0.0962721
0,2.80936e-09,0.102716,0.137718,0.161051,0.19269,0.0685766,0.147299,0.175303,0.10196,0.213176,0.216212,0.125245,0.06057,0.0463177,0.105894,0.0781195,0.0505004,0.0967966
0,2.81942e-09,0.103177,0.138405,0.161609,0.193317,0.0691297,0.147899,0.175874,0.102646,0.21365,0.216951,0.125962,0.0608048,0.0464815,0.106166,0.0784272,0.050647,0.0973139
0,2.82948e-09,0.103631,0.139083,0.162158,0.193935,0.0696761,0.14849,0.176436,0.103323,0.214116,0.21768,0.12667,0.0610362,0.0466428,0.106434,0.0787304,0.0507913,0.0978243
0,2.83954e-09,0.104079,0.139751,0.162699,0.194542,0.0702157,0.149072,0.176989,0.103992,0.214572,0.218396,0.127369,0.061264,0.0468015,0.106698,0.079029,0.050933,0.0983276
0,2.84959e-09,0.10452,0.14041,0.163231,0.19514,0.0707486,0.149645,0.177532,0.104651,0.215019,0.219101,0.128058,0.0614885,0.0469578,0.106956,0.079323,0.0510724,0.0988241
0,2.85965e-09,0.104955,0.14106,0.163754,0.195728,0.0712748,0.150209,0.178067,0.105303,0.215458,0.219795,0.128738,0.0617094,0.0471116,0.10721,0.0796127,0.0512095,0.0993138
0,2.86971e-09,0.105384,0.1417,0.16427,0.196307,0.0717945,0.150766,0.178594,0.105945,0.215889,0.220478,0.129408,0.061927,0.0472629,0.107459,0.0798979,0.0513441,0.0997967
0,2.87977e-09,0.105806,0.142331,0.164776,0.196876,0.0723077,0.151313,0.179111,0.10658,0.216311,0.221149,0.13007,0.0621413,0.0474118,0.107704,0.0801787,0.0514764,0.100273
0,2.88983e-09,0.106222,0.142953,0.165275,0.197435,0.0728143,0.151853,0.17962,0.107206,0.216724,0.22181,0.130722,0.0623521,0.0475583,0.107944,0.0804551,0.0516064,0.100742
0,2.89989e-09,0.106632,0.143567,0.165765,0.197985,0.0733146,0.152384,0.18012,0.107823,0.217129,0.22246,0.131366,0.0625597,0.0477024,0.108179,0.0807273,0.0517341,0.101205
0,2.90995e-09,0.107035,0.144171,0.166248,0.198526,0.0738085,0.152906,0.180612,0.108433,0.217525,0.223099,0.132,0.062764,0.0478442,0.10841,0.0809951,0.0518595,0.101661
0,2.91841e-09,0.10737,0.144673,0.166647,0.198973,0.074219,0.15334,0.181019,0.108939,0.217853,0.223628,0.132527,0.0629333,0.0479616,0.108601,0.0812171,0.0519632,0.10204
0,2.92687e-09,0.107701,0.145168,0.167041,0.199414,0.0746251,0.153767,0.181421,0.10944,0.218174,0.224149,0.133047,0.0631003,0.0480774,0.108789,0.0814362,0.0520653,0.102414
0,2.93533e-09,0.108027,0.145657,0.167429,0.199849,0.0750267,0.154189,0.181816,0.109935,0.21849,0.224663,0.133562,0.0632651,0.0481915,0.108974,0.0816522,0.0521659,0.102784
0,2.94379e-09,0.108349,0.14614,0.167812,0.200277,0.075424,0.154605,0.182205,0.110424,0.2188,0.22517,0.13407,0.0634276,0.048304,0.109156,0.0818654,0.0522648,0.103149
0,2.95225e-09,0.108667,0.146618,0.168189,0.200699,0.075817,0.155016,0.182589,0.110908,0.219105,0.225669,0.134572,0.0635878,0.0484149,0.109334,0.0820756,0.0523623,0.10351
0,2.96071e-09,0.10898,0.147089,0.16856,0.201114,0.0762056,0.155421,0.182967,0.111386,0.219403,0.226162,0.135068,0.0637459,0.0485242,0.10951,0.0822829,0.0524582,0.103866
0,2.96917e-09,0.10929,0.147554,0.168926,0.201523,0.0765899,0.15582,0.183339,0.111859,0.219697,0.226646,0.135558,0.0639017,0.048632,0.109683,0.0824874,0.0525525,0.104218
0,2.97763e-09,0.109595,0.148013,0.169287,0.201926,0.07697,0.156214,0.183706,0.112326,0.219984,0.227124,0.136043,0.0640553,0.0487381,0.109852,0.082689,0.0526453,0.104565
0,2.98609e-09,0.109897,0.148466,0.169642,0.202323,0.0773459,0.156603,0.184067,0.11279,0.220267,0.227594,0.136608,0.0642068,0.0488427,0.110019,0.0828878,0.0527367,0.104909
0,2.99455e-09,0.110194,0.148914,0.170234,0.202714,0.0777176,0.156986,0.184422,0.11326,0.220544,0.228058,0.137278,0.0643561,0.0489457,0.110183,0.0830838,0.0528265,0.105247
0,3.00301e-09,0.110487,0.149355,0.171049,0.203172,0.0780851,0.157364,0.184772,0.113724,0.220815,0.228514,0.13794,0.0645033,0.0490472,0.110366,0.0832769,0.0529148,0.105582
0,3.01743e-09,0.110978,0.150095,0.172419,0.204189,0.0787021,0.157996,0.185356,0.114503,0.221265,0.229276,0.139051,0.0647493,0.0496533,0.110905,0.0835999,0.053062,0.106425
0,3.03185e-09,0.111458,0.151034,0.173762,0.205286,0.0793071,0.158612,0.186265,0.115267,0.2217,0.230365,0.140141,0.0649893,0.0503,0.111433,0.0839149,0.0534388,0.107273
0,3.04627e-09,0.111926,0.152079,0.175079,0.207259,0.0799005,0.159213,0.187436,0.116015,0.22212,0.231428,0.141547,0.0652231,0.0509356,0.111948,0.084222,0.0540398,0.108105
0,3.0607e-09,0.112459,0.153104,0.17637,0.209196,0.0806114,0.159799,0.188582,0.116747,0.222525,0.232468,0.143317,0.0654511,0.0515601,0.112452,0.0845214,0.0546408,0.108921
0,3.07512e-09,0.113092,0.154108,0.177637,0.211097,0.0815247,0.160371,0.189705,0.117465,0.222916,0.233484,0.145057,0.0656899,0.0521738,0.112944,0.0848131,0.0552311,0.109721
0,3.08954e-09,0.113712,0.155091,0.178878,0.212963,0.0824218,0.160928,0.190804,0.118168,0.223291,0.235342,0.146766,0.0662612,0.0527767,0.113425,0.0850973,0.0558109,0.110505
0,3.10396e-09,0.114318,0.156055,0.180338,0.214794,0.083303,0.16147,0.19188,0.118856,0.224134,0.237526,0.148445,0.0668218,0.053369,0.113948,0.0854743,0.0563803,0.111274
0,3.11838e-09,0.115306,0.157014,0.181816,0.216591,0.0846017,0.162401,0.192933,0.119529,0.225086,0.23967,0.150095,0.0678522,0.0539509,0.114857,0.086208,0.0569394,0.112027
0,3.13281e-09,0.116884,0.158472,0.183266,0.218354,0.0861744,0.163712,0.19407,0.121069,0.226015,0.241774,0.151715,0.0689519,0.0545223,0.115747,0.0870145,0.0574883,0.112815
0,3.14723e-09,0.118638,0.159929,0.184688,0.220082,0.0877215,0.164998,0.195986,0.122677,0.227129,0.243838,0.153307,0.0700333,0.0550835,0.116621,0.0878061,0.0580271,0.113644
0,3.16165e-09,0.120362,0.161358,0.186262,0.221778,0.0892433,0.166699,0.197867,0.124258,0.228702,0.245864,0.155614,0.0710967,0.0556346,0.117477,0.088583,0.058556,0.114633
0,3.21272e-09,0.126237,0.166208,0.192231,0.228378,0.0964851,0.173549,0.204254,0.13051,0.234019,0.252731,0.163788,0.0757314,0.057993,0.120377,0.0912796,0.0603509,0.118207
0,3.26379e-09,0.131762,0.171379,0.19976,0.237705,0.106232,0.180069,0.210227,0.138254,0.238958,0.259217,0.17148,0.0801119,0.0605651,0.123644,0.0938386,0.0623672,0.121548
0,3.31487e-09,0.136951,0.176456,0.206821,0.246457,0.115449,0.18726,0.218205,0.145551,0.244629,0.269557,0.178711,0.0842382,0.0632672,0.127975,0.0962254,0.0651676,0.124664
0,3.36594e-09,0.142653,0.181195,0.213432,0.255929,0.124159,0.194043,0.226425,0.152833,0.254255,0.279256,0.186709,0.0881205,0.0658313,0.13203,0.0996686,0.0677985,0.127672
