tau_m,tau_s,tau_plus,tau_minus,a_minus,a_plus,CFI0,CF01,CFI1,alpha,TH0,TH1,fitness
4.882697947214077e-10,7.697947214076247e-11,5.3651612903225804e-09,1.9227337895079832e-09,0.00018849032258064514,5.241935483870968e-05,0.2961876832844575,0.8909090909090909,0.9604105571847508,0.11055718475073315,0.8538123167155425,0.8821847507331378,-0.2829
5.102639296187684e-10,4.5938416422287386e-10,6.153431085043988e-09,6.411674812642554e-09,4.043974193548387e-05,5.241935483870968e-05,0.2961876832844575,0.8909090909090909,0.9885630498533724,0.11055718475073315,0.5846041055718475,0.6406891495601174,0.98
2.1451612903225812e-09,4.5234604105571845e-10,6.239648093841642e-09,1.790964483545129e-09,5.6889806451612904e-05,5.241935483870968e-05,0.5055718475073314,0.9049853372434017,0.9604105571847508,0.3357771260997068,0.4236070381231672,0.7238269794721408,0.98
5.029325513196482e-10,3.585043988269794e-10,6.245806451612903e-09,2.8802574128380583e-09,5.6889806451612904e-05,5.241935483870968e-05,0.7747800586510264,0.8909090909090909,0.9612903225806452,0.11055718475073315,0.5839442815249267,0.892741935483871,-0.581818
2.4384164222873907e-09,5.351906158357771e-11,6.541407624633431e-09,2.8099804496578694e-09,0.00018849032258064514,0.0001933467741935484,0.7501466275659824,0.9181818181818181,0.3164222873900293,0.6780058651026393,0.7225073313782991,0.660483870967742,0
7.998533724340176e-10,4.335777126099706e-10,6.541407624633431e-09,2.8802574128380583e-09,5.663277419354839e-05,2.2177419354838714e-05,0.5161290322580645,0.5829912023460411,0.2469208211143695,0.6771260997067449,0.7225073313782991,0.892741935483871,0
1.023460410557185e-09,1.5205278592375367e-10,5.3651612903225804e-09,6.420459433040078e-09,0.00019774348387096771,5.241935483870968e-05,0.521407624633431,0.8900293255131965,0.9604105571847508,0.10351906158357772,0.7693548387096774,0.8452346041055718,-0.14697
5.6158357771261e-10,4.5234604105571845e-10,6.153431085043988e-09,5.129120234604106e-09,6.614296774193547e-05,0.0002266129032258065,0.2900293255131965,0.43782991202346044,0.8478005865102639,0.11055718475073315,0.844574780058651,0.6868768328445748,0.26
5.029325513196482e-10,5.117302052785924e-11,3.486862170087977e-09,1.8963799283154123e-09,5.6889806451612904e-05,0.00012953629032258067,0.6340175953079179,0.8961876832844574,0.8486803519061584,0.11055718475073315,0.6684017595307918,0.892741935483871,-0.505628
4.882697947214077e-10,6.587976539589443e-10,5.3651612903225804e-09,1.9139491691104597e-09,0.00018849032258064514,0.00020967741935483871,0.3243401759530792,0.8979472140762463,0.9111436950146627,0.3366568914956012,0.8538123167155425,0.8821847507331378,0.98
1.9105571847507335e-09,2.060117302052786e-10,5.3651612903225804e-09,1.7558260019550344e-09,4.917883870967742e-05,5.211693548387097e-05,0.8592375366568915,0.43782991202346044,0.9612903225806452,0.1598240469208211,0.6684017595307918,0.6868768328445748,0
5.029325513196482e-10,1.0529325513196482e-09,6.153431085043988e-09,2.318041707396546e-09,6.562890322580645e-05,0.00014889112903225809,0.6304985337243402,0.9243401759530792,0.8486803519061584,0.11055718475073315,0.6684017595307918,0.892741935483871,0.98
2.4237536656891503e-09,7.667155425219942e-10,4.964868035190616e-09,2.8099804496578694e-09,0.00018849032258064514,0.0001957661290322581,0.7501466275659824,0.9225806451612902,0.3164222873900293,0.9032258064516129,0.8953812316715543,0.6618035190615836,-0.162121
2.4384164222873907e-09,5.351906158357771e-11,2.994193548387097e-09,2.8890420332355814e-09,0.00018849032258064514,0.00023205645161290326,0.6375366568914956,0.9190615835777126,0.26011730205278594,0.7061583577712609,0.6789589442815249,0.6657624633431085,0.98
5.029325513196482e-10,1.0747800586510264e-10,3.2959530791788856e-09,1.8963799283154123e-09,5.6889806451612904e-05,0.00012953629032258067,0.6340175953079179,0.9093841642228738,0.8478005865102639,0.11055718475073315,0.6690615835777126,0.892741935483871,-0.677922
