Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11
1,1.3765e-08,0.0513265,0.0199227,0.0388436,0.0463829,0.0376442,0.0259152,0.0639303,0.0340355,0.0530926,0.0109705,0.0306251,0.009493
1,1.49953e-08,0.0240423,0.00970953,0.0178365,0.0214425,0.0131492,0.0119418,0.0295767,0.0113477,0.0245803,0.00493587,0.00997175,0.00423892
1,1.53495e-08,0.0188644,0.00738329,0.0139472,0.016584,0.00946007,0.00861357,0.022821,0.00819734,0.0197287,0.00358353,0.00718894,0.00337131
1,1.55832e-08,0.0253598,0.00726198,0.016535,0.0194616,0.00866226,0.00822304,0.0256798,0.00690376,0.0228151,0.00347058,0.00590079,0.00315035
1,1.57374e-08,0.0301468,0.00803911,0.0206237,0.0236894,0.00832157,0.00838107,0.0292707,0.0064286,0.0274468,0.00374255,0.0053056,0.00349273
1,1.59949e-08,0.0309692,0.00795602,0.0217271,0.0245759,0.00725347,0.00756978,0.0295139,0.00552582,0.0289474,0.00350486,0.00443756,0.00358266
1,1.62893e-08,0.0287844,0.00819082,0.0238806,0.0262172,0.00707519,0.0119082,0.0319782,0.0054484,0.0311946,0.00397945,0.00413861,0.00381422
1,1.65574e-08,0.0251388,0.0170154,0.0257454,0.0261179,0.00774777,0.0214557,0.0330652,0.00634594,0.0302304,0.0160897,0.00459824,0.015759
1,1.68728e-08,0.0266994,0.0181881,0.0281087,0.028285,0.00722246,0.0213215,0.0340466,0.00593489,0.0322541,0.0172139,0.00411356,0.0170017
1,1.81499e-08,0.00903325,0.0066239,0.0107229,0.0111394,0.0119697,0.00904054,0.0145014,0.0116671,0.0126676,0.00639708,0.0105307,0.00626399
1,1.81721e-08,0.00887299,0.0066095,0.0107875,0.011285,0.0139564,0.00933507,0.0149539,0.0136839,0.0128397,0.00640867,0.0124483,0.00626015
1,1.82875e-08,0.00924042,0.00667767,0.011798,0.0128656,0.0210958,0.0102944,0.017606,0.0208684,0.0146901,0.00637051,0.0192701,0.00613041
1,1.86148e-08,0.0104641,0.00610653,0.0126009,0.0139285,0.0249446,0.00969828,0.0188661,0.0247257,0.0164354,0.00561079,0.0229845,0.00523638
1,1.89393e-08,0.0142793,0.00965853,0.0158076,0.0183579,0.0218636,0.0130227,0.0258179,0.0211523,0.0217317,0.00645475,0.0193741,0.00590481
1,1.91634e-08,0.0143213,0.0182879,0.0190228,0.02007,0.0200672,0.0215298,0.0287315,0.0193152,0.022946,0.0174214,0.0172191,0.0167886
1,1.92775e-08,0.0152358,0.0201225,0.0219649,0.0226519,0.0194474,0.0256839,0.0322059,0.0185855,0.0259586,0.0195317,0.0162849,0.0187226
1,1.9472e-08,0.0163972,0.0203675,0.0239991,0.0247382,0.0175624,0.0270684,0.0342689,0.0165798,0.0284164,0.0197543,0.0142654,0.0188169
1,1.95081e-08,0.0187656,0.0204354,0.0251646,0.0260979,0.0174171,0.0271784,0.0357826,0.0162483,0.0299273,0.0196652,0.0139152,0.0186753
1,1.97494e-08,0.0318446,0.0206492,0.0330144,0.0349232,0.0160531,0.0263309,0.0441226,0.0141546,0.0397254,0.0183535,0.0117071,0.0173616
1,1.97886e-08,0.0340618,0.020764,0.0346508,0.0366996,0.0158116,0.0260982,0.0456418,0.0138379,0.0417001,0.0181221,0.0113588,0.0171718
