Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11,V(t)_12,V(t)_13,V(t)_14,V(t)_15,V(t)_16,V(t)_17,V(t)_18,V(t)_19
2,3.32165e-08,0.24022,0.255145,0.277524,0.351447,0.502669,0.314939,0.227832,0.357749,0.26112,0.331554,0.249984,0.128462,0.144571,0.175739,0.163484,0.08854,0.164967,0.231274,0.245772,0.0939294
2,3.32977e-08,0.221351,0.280871,0.255867,0.431369,0.577425,0.327792,0.211893,0.419653,0.306353,0.441461,0.238702,0.13031,0.195746,0.190672,0.209593,0.0959067,0.250874,0.259137,0.23274,0.0839066
2,3.33788e-08,0.246589,0.335851,0.23584,0.439566,0.56937,0.311909,0.189658,0.443267,0.359043,0.497844,0.216619,0.130197,0.273751,0.190964,0.24162,0.115211,0.275733,0.254602,0.21493,0.0865739
2,3.34599e-08,0.264603,0.350568,0.210076,0.411683,0.533065,0.282586,0.195763,0.453182,0.45098,0.492711,0.191317,0.133287,0.319683,0.189974,0.250156,0.115559,0.26707,0.234407,0.192564,0.104011
2,3.35411e-08,0.306623,0.332064,0.187332,0.396788,0.544306,0.249349,0.246933,0.45122,0.465895,0.500449,0.17249,0.138843,0.320266,0.185994,0.254114,0.107416,0.279399,0.208671,0.190893,0.130669
2,3.36222e-08,0.329912,0.350627,0.187267,0.368595,0.510972,0.216751,0.267388,0.425279,0.458236,0.500657,0.165009,0.137746,0.320841,0.170924,0.246126,0.108303,0.275252,0.182315,0.180609,0.133193
2,3.37033e-08,0.316598,0.367771,0.173798,0.341437,0.45962,0.19224,0.257424,0.4131,0.497524,0.464945,0.149722,0.127367,0.32887,0.151957,0.224914,0.107511,0.253647,0.157567,0.163005,0.12476
2,3.37364e-08,0.306048,0.362942,0.166599,0.327817,0.436953,0.185896,0.248938,0.400396,0.509448,0.445725,0.142711,0.121977,0.328279,0.144022,0.214734,0.105988,0.242698,0.148163,0.155137,0.124638
2,3.37695e-08,0.295293,0.356641,0.158947,0.313178,0.414163,0.178619,0.250609,0.38538,0.510423,0.425281,0.13555,0.116288,0.324615,0.136176,0.204223,0.10333,0.231218,0.14236,0.147174,0.123637
2,3.38026e-08,0.296296,0.350287,0.151082,0.297999,0.391624,0.170732,0.253705,0.368854,0.503519,0.404261,0.128387,0.11047,0.317439,0.128513,0.193631,0.0998823,0.219528,0.144458,0.139263,0.12105
