Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11
12,2.77232e-07,0.0273688,0.0420756,0.0190782,0.0368145,0.0773816,0.0502322,0.105507,0.0238406,0.0362123,0.0464133,0.0424394,0.0564865
12,2.77274e-07,0.0251666,0.0387017,0.0175435,0.0339642,0.0728387,0.0469278,0.0980605,0.0219903,0.0339147,0.0431174,0.0402967,0.053261
12,2.77316e-07,0.023142,0.0355964,0.0161325,0.0313117,0.0681808,0.043679,0.0909158,0.0202697,0.0316261,0.0399617,0.0379631,0.0499183
12,2.77358e-07,0.0212783,0.0327357,0.0148335,0.0288473,0.0635493,0.0405379,0.0841263,0.0186721,0.0293937,0.0369674,0.0355551,0.0465718
12,2.77368e-07,0.0237036,0.0406648,0.0145009,0.0282863,0.0623164,0.0397647,0.0904111,0.0194907,0.0322213,0.0413221,0.0349791,0.0494329
12,2.77378e-07,0.0258827,0.0477746,0.0142132,0.0277354,0.061238,0.0390449,0.0959573,0.0202852,0.0347296,0.0452299,0.0344046,0.0519451
12,2.77388e-07,0.0278193,0.0541496,0.0139304,0.0271932,0.0601657,0.038332,0.10084,0.0209747,0.0369512,0.0487045,0.0338305,0.0541437
12,2.77398e-07,0.0295231,0.0598158,0.013654,0.0266625,0.0591063,0.0376303,0.105089,0.0215643,0.038898,0.0517634,0.0332609,0.0560435
12,2.77408e-07,0.0310191,0.0648494,0.013383,0.0261415,0.0580575,0.0369379,0.108771,0.0220646,0.0405994,0.054451,0.0326947,0.057676
12,2.77418e-07,0.0323247,0.0693032,0.0131174,0.0256303,0.0570199,0.036255,0.111935,0.0224833,0.0420761,0.0567986,0.0321325,0.0590643
12,2.77428e-07,0.0334561,0.0732256,0.012857,0.0251285,0.055994,0.0355817,0.114626,0.0228276,0.0433475,0.0588351,0.0315746,0.0602296
12,2.77438e-07,0.0344283,0.0766615,0.0126018,0.0246362,0.0549802,0.0349182,0.116884,0.0231041,0.044431,0.060587,0.0310217,0.0611914
12,2.77448e-07,0.0352571,0.0796597,0.012351,0.0241518,0.0539761,0.0342626,0.118752,0.0233193,0.0453454,0.0620827,0.0304725,0.0619696
12,2.77458e-07,0.0359504,0.0822415,0.0121058,0.0236778,0.0529877,0.0336189,0.120254,0.0234776,0.0461005,0.0633364,0.0299304,0.0625763
12,2.77468e-07,0.0365225,0.0844508,0.0118655,0.0232128,0.0520125,0.0329851,0.121429,0.0235848,0.0467128,0.0643734,0.0293942,0.0630292
12,2.77493e-07,0.0509291,0.0885223,0.0282331,0.0257684,0.064582,0.031457,0.123113,0.0236597,0.0476947,0.0661288,0.0280921,0.0635762
12,2.77518e-07,0.0617073,0.0909205,0.0407374,0.0275341,0.0738097,0.0299916,0.123349,0.0235113,0.0480428,0.0669183,0.0268322,0.0634467
12,2.77543e-07,0.0695833,0.0919976,0.0501447,0.0286719,0.0803692,0.028585,0.122453,0.0231898,0.0478942,0.0669493,0.0256137,0.0627905
12,2.77568e-07,0.0751161,0.0920322,0.0570417,0.0293082,0.0847809,0.0272379,0.120683,0.022736,0.0473591,0.0663875,0.0244392,0.0617291
12,2.77592e-07,0.0787699,0.0912549,0.0619163,0.0295477,0.0874768,0.0259504,0.11825,0.0221838,0.0465284,0.0653695,0.0233107,0.0603627
12,2.77617e-07,0.0809337,0.0898495,0.0651807,0.0294763,0.0888165,0.0247181,0.115315,0.0215585,0.0454726,0.0640028,0.0222255,0.0587677
12,2.77642e-07,0.081912,0.0879694,0.0671542,0.029163,0.089084,0.023542,0.112021,0.020883,0.0442527,0.0623787,0.0211859,0.0570115
12,2.77667e-07,0.0819593,0.0857317,0.0681076,0.0286632,0.0885134,0.0224177,0.108469,0.0201728,0.042913,0.0605648,0.0201888,0.0551414
12,2.77692e-07,0.0812787,0.0832363,0.0682549,0.0280226,0.0872937,0.0213447,0.104749,0.0194424,0.0414926,0.0586201,0.0192345,0.0532004
12,2.77717e-07,0.0800382,0.0805647,0.0677732,0.0272786,0.0855805,0.0203222,0.100936,0.0187035,0.0400235,0.0565928,0.018323,0.0512233
12,2.77742e-07,0.0783692,0.0777739,0.066804,0.026459,0.0834941,0.0193461,0.0970752,0.0179629,0.0385261,0.0545147,0.0174509,0.0492314
12,2.77773e-07,0.0799759,0.0741927,0.0718223,0.0253636,0.105749,0.0259112,0.0922485,0.0330708,0.0366435,0.0580009,0.0164147,0.0467514
12,2.77804e-07,0.0800893,0.0705826,0.0745432,0.0242238,0.120539,0.0303302,0.0874252,0.0436949,0.0347378,0.059757,0.0153565,0.0442289
12,2.77835e-07,0.0791071,0.0669992,0.075545,0.0230666,0.129853,0.0331996,0.0827763,0.0508991,0.0329103,0.0602692,0.0144401,0.0418582
12,2.77866e-07,0.0773354,0.063483,0.0752741,0.0219122,0.134949,0.0348599,0.0782698,0.0554996,0.0311339,0.0598429,0.0135767,0.0395648
12,2.77897e-07,0.075009,0.0600629,0.0740744,0.020775,0.136888,0.0356126,0.0739275,0.0581316,0.0294184,0.0587346,0.0127636,0.0373585
12,2.77928e-07,0.0723097,0.0567616,0.0722124,0.0196667,0.136488,0.0356905,0.069767,0.059286,0.027772,0.0571432,0.011999,0.0352473
12,2.77959e-07,0.0693689,0.0535861,0.0698868,0.0185924,0.134381,0.0352732,0.0657885,0.0593443,0.0261954,0.0552164,0.0112787,0.0332305
12,2.7799e-07,0.0662475,0.0504143,0.0672537,0.0175582,0.13105,0.0344983,0.0618775,0.0585781,0.0246402,0.0529919,0.010601,0.0312546
12,2.78022e-07,0.0631145,0.0475238,0.0644303,0.0165671,0.126866,0.0334718,0.0582842,0.057253,0.0232136,0.0507189,0.00996358,0.0294355
12,2.78053e-07,0.05998,0.0447742,0.0615051,0.0156207,0.122115,0.0322746,0.0548767,0.0555209,0.0218598,0.0483792,0.00936411,0.0277114
12,2.78084e-07,0.056886,0.0421645,0.0585442,0.0147196,0.11701,0.0309684,0.0516507,0.0535135,0.0205773,0.0460218,0.00880043,0.0260799
12,2.78115e-07,0.053833,0.0414904,0.0812067,0.0170668,0.11166,0.0463104,0.0485707,0.0593812,0.0319485,0.0517095,0.029834,0.0252351
12,2.78147e-07,0.0508714,0.0404349,0.0966674,0.0185507,0.106235,0.0568944,0.0456609,0.0628639,0.0398254,0.0551648,0.0448012,0.0242754
12,2.78178e-07,0.0480215,0.0391168,0.106636,0.0193817,0.100838,0.0638444,0.0429193,0.0645525,0.0450318,0.0569378,0.0551125,0.0232463
12,2.7821e-07,0.045196,0.0376229,0.112359,0.0197013,0.0954247,0.0680575,0.0403334,0.0649109,0.0482259,0.0574611,0.0619007,0.0221789
12,2.78241e-07,0.0425931,0.0360231,0.115101,0.0196867,0.0902608,0.0702086,0.0379003,0.0642925,0.0499024,0.0570641,0.0660137,0.0210995
12,2.78273e-07,0.0401131,0.0343653,0.115544,0.019409,0.0852625,0.0708282,0.0356081,0.0629685,0.0504507,0.0559998,0.068124,0.0200245
12,2.78304e-07,0.0377602,0.0326902,0.1143,0.0189433,0.0804606,0.0703202,0.0334532,0.0611491,0.0501668,0.0544644,0.0687402,0.0189689
12,2.78335e-07,0.0355284,0.0310224,0.111841,0.018346,0.0758597,0.068995,0.0314246,0.0589899,0.0492788,0.0526034,0.0682581,0.0179401
12,2.78367e-07,0.0334187,0.0293854,0.108531,0.0176616,0.0714752,0.0670932,0.0295188,0.0566153,0.0479631,0.0505329,0.0669811,0.0169464
12,2.78398e-07,0.0314236,0.0277903,0.10464,0.0169219,0.0673013,0.0647931,0.0277255,0.0541118,0.0463509,0.0483342,0.0651393,0.0159903
12,2.7843e-07,0.0295422,0.0262501,0.100383,0.0161529,0.0633442,0.062237,0.0260415,0.0515521,0.0445466,0.0460751,0.0629128,0.0150761
12,2.78452e-07,0.0283008,0.0272341,0.0972988,0.0329907,0.0607231,0.0633831,0.0390079,0.0515709,0.0432229,0.0481,0.0612142,0.0144669
12,2.78473e-07,0.0271093,0.0278395,0.0941544,0.0463052,0.0582008,0.063872,0.0491682,0.0512339,0.0418634,0.0494,0.0594304,0.0138783
12,2.78495e-07,0.0259661,0.028126,0.0908397,0.0566778,0.0557752,0.0637356,0.0570027,0.050568,0.040414,0.050063,0.0574697,0.0133062
12,2.78517e-07,0.0248695,0.028173,0.0876745,0.0646468,0.0534439,0.0632692,0.0629134,0.0497252,0.0390317,0.0502922,0.0556019,0.0127587
12,2.78539e-07,0.0238179,0.0280183,0.0845306,0.0706135,0.0512044,0.0624623,0.0672369,0.0487079,0.0376536,0.0501331,0.0537204,0.0122313
12,2.78561e-07,0.0228097,0.0277027,0.0814254,0.0749294,0.0490539,0.0613869,0.0702545,0.0475574,0.0362884,0.0496629,0.0518406,0.0117237
12,2.78582e-07,0.0218432,0.0272598,0.0783725,0.0778883,0.0469897,0.060103,0.0722014,0.0463075,0.0349428,0.0489457,0.049975,0.0112355
12,2.78604e-07,0.0209169,0.0267175,0.0753824,0.079736,0.045009,0.0586603,0.073274,0.0449863,0.0336222,0.0480348,0.0481337,0.0107662
12,2.78626e-07,0.0200292,0.026099,0.0724634,0.0806773,0.043109,0.0570997,0.0736362,0.0436167,0.0323307,0.0469744,0.0463244,0.0103153
12,2.78648e-07,0.0191786,0.0254235,0.0696214,0.0808834,0.0412868,0.0554549,0.0734248,0.0422176,0.0310715,0.0458009,0.0445532,0.00988235
